index,ticker,quoteType,marketCap,sharesOutstanding,exchange,bookValue,longName,shortName,trailingPE,trailingAnnualDividendYield
2792,ITHXW,EQUITY,,,NCM,,ITHAX Acquisition Corp.,ITHAX Acquisition Corp.,,
2793,ITI,EQUITY,128688672.0,42331800.0,NCM,1.902,"Iteris, Inc.","Iteris, Inc.",,
2794,ITIC,EQUITY,386874016.0,1894120.0,NMS,129.517,Investors Title Company,Investors Title Company,5.986225,0.008857831
2795,ITOS,EQUITY,1113949696.0,35273900.0,NGM,10.552,"iTeos Therapeutics, Inc.","iTeos Therapeutics, Inc.",79.14787,
2796,ITQ,EQUITY,281318752.0,23000000.0,NCM,-0.562,Itiquira Acquisition Corp.,Itiquira Acquisition Corp.,27.408964,
2797,ITQRU,EQUITY,,,NCM,-0.562,Itiquira Acquisition Corp.,Itiquira Acquisition Corp.,27.843136,
2798,ITQRW,EQUITY,,,NCM,,Itiquira Acquisition Corp.,Itiquira Acquisition Corp.,,
2799,ITRI,EQUITY,2412108032.0,45272300.0,NMS,25.93,"Itron, Inc.","Itron, Inc.",,
2800,ITRM,EQUITY,65433456.0,182775008.0,NCM,0.287,Iterum Therapeutics plc,Iterum Therapeutics plc,,
2801,ITRN,EQUITY,490705120.0,20687400.0,NMS,6.291,Ituran Location and Control Ltd.,Ituran Location and Control Ltd,15.667106,0.020851433
2802,IUS,ETF,,,NGM,,Invesco RAFI Strategic US ETF,Invesco RAFI Strategic US ETF,,
2803,IUSB,ETF,,,NGM,,iShares Trust - iShares Core Total USD Bond Market ETF,iShares Core Total USD Bond Mar,,
2804,IUSG,ETF,11179889664.0,105750000.0,NGM,90.735,iShares Core S&P U.S. Growth ETF,iShares Core S&P U.S. Growth ET,2.9371562,0.007524134
2805,IUSS,ETF,,,NGM,,Invesco RAFI Strategic US Small Company ETF,Invesco RAFI Strategic US Small,,
2806,IUSV,ETF,7581899776.0,99500000.0,NGM,68.825,iShares Core S&P U.S. Value ETF,iShares Core S&P U.S. Value ETF,3.4765944,0.018953472
2807,IVA,EQUITY,449188256.0,40742700.0,NGM,2.289,Inventiva S.A.,Inventiva S.A. - American Depos,,
2808,IVAC,EQUITY,132790864.0,24590900.0,NMS,3.642,"Intevac, Inc.","Intevac, Inc.",,
2809,IVCB,EQUITY,,,NGM,,Investcorp Europe Acquisition Corp I,Investcorp Europe Acquisition C,,
2810,IVCBU,EQUITY,,,NGM,0.003,Investcorp Europe Acquisition Corp I,Investcorp Europe Acquisition C,,
2811,IVCBW,EQUITY,,,NMS,,Investcorp Europe Acquisition Corp I,Investcorp Europe Acquisition C,,
2812,IVCP,EQUITY,,,NGM,,Swiftmerge Acquisition Corp.,Swiftmerge Acquisition Corp.,,
2813,IVCPU,EQUITY,,,NGM,0.004,Swiftmerge Acquisition Corp.,Swiftmerge Acquisition Corp.,,
2814,IVCPW,EQUITY,,,NMS,,Swiftmerge Acquisition Corp.,Swiftmerge Acquisition Corp. Wa,,
2815,IVDA,EQUITY,287621216.0,76292096.0,NCM,-0.023,"Iveda Solutions, Inc.","Iveda Solutions, Inc.",,
